,hashtags,pol_dummy
212,#TestDeDrogasParaCarabineros,1
213,#CacerolazoNacional,1
214,#Cacerolazo,1
215,#CacerolazoPorGustavo,1
216,#ToqueDeCacerolazo,1
217,#CacerolazoPorLaSalud,1
218,#CacerolazoLatinoamericano,1
219,#cacerolazomasivo,1
222,#PiñeraCriminal,1
223,#AcusacionParaPiñeraYa,1
224,#PeligroPiñeraMata,1
226,#DestitucionDePiñera,1
228,#DeletePiñera,1
231,#PiñeraViolaDDH,1
232,#PiñeraAsesino,1
233,#MacriPiñeraLaMismaBilletera,1
234,#PiñeraLies,1
235,#PiñeraViolaDDHH,1
236,#PiñeraEstoyContigo,1
237,#PiñeraDictador,1
238,#PiñeraViolatesHumanRights,1
239,#LiderazgoDePiñera,1
242,#dondeestaPiñera,1
244,#PiñeraYaFue,1
245,#PiñeraAcusado,1
247,#PiñeraMiente,1
248,#Piñera,1
249,#AcusacionConstitucionalPiñera,1
251,#DictadorPiñera,1
254,#Piñeraesviolencia,1
255,#DictaduraPiñera,1
256,#PiñeraNoTeRobesLaMarcha,1
257,#DestitucionParaPiñera,1
258,#PiñeraVerguenzaNacional,1
260,#CarcelParaPiñera,1
261,#Piñera25Muertes,1
262,#FuerzaPiñera,1
263,#PiñeraEnCooperativa,1
264,#DictaduradePiñera,1
266,#somosmayoria,1
267,#PacoLeaks,1
268,#PrensaProstituida,1
269,#SinIgualdadNoHayPaz,1
270,#EstadoDeSitio,1
271,#evasionmetro,1
272,#evacionmasiva,1
273,#17DeOctubre,1
274,#PlazaItalia,1
275,#EvacionMasivaALas1800,1
276,#SeSabeQueEresPobreSi,1
277,#SantiagoNoEsChile,1
278,#DesobedienciaCivil,1
279,#YaNoTengoMiedo,1
280,#metrosantiago,1
281,#metrodesantiago,1
